config,val_mae_mean,train_mae_mean,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R129_iter800_lr0.128_l22.4,1270.3470052640291,1110.1288920464533,40,63,800,25.0,0.12789473684210526,2.394736842105263,255,42
R192_iter800_lr0.080_l22.0,1270.461958772088,1108.9112716911104,30,127,800,10.0,0.08,1.9736842105263157,255,42
R137_iter600_lr0.080_l21.8,1270.4884296763717,1122.7998080375105,30,63,600,25.0,0.08,1.763157894736842,255,42
R235_iter800_lr0.139_l20.5,1270.5942278054918,1108.6492186705468,30,63,800,20.0,0.13894736842105262,0.5,255,42
R172_iter1000_lr0.143_l22.1,1271.4862398678658,1086.0770543047424,20,127,1000,10.0,0.14263157894736841,2.0789473684210527,255,42
R143_iter800_lr0.139_l21.3,1271.657564341131,1109.9208885390483,40,63,800,25.0,0.13894736842105262,1.3421052631578947,255,42
R247_iter800_lr0.150_l22.5,1271.7064996908648,1094.5618773710853,30,127,800,10.0,0.15,2.5,255,42
R27_iter600_lr0.146_l22.4,1271.722892533719,1110.18420954967,30,63,600,15.0,0.1463157894736842,2.394736842105263,255,42
R183_iter1000_lr0.121_l21.2,1271.87780211211,1102.4413047798078,30,127,1000,10.0,0.12052631578947368,1.236842105263158,255,42
R242_iter1000_lr0.109_l20.7,1272.6611421998007,1121.3884405028712,30,63,1000,10.0,0.1094736842105263,0.7105263157894737,255,42
R169_iter800_lr0.150_l21.1,1274.6406046374505,1111.9748411143255,30,63,800,20.0,0.15,1.131578947368421,255,42
R32_iter1500_lr0.084_l21.8,1275.3431234451045,1129.7335271710647,30,63,1500,10.0,0.08368421052631579,1.763157894736842,255,42
R95_iter1500_lr0.106_l22.0,1275.4264675726522,1129.862579057783,40,63,1500,15.0,0.10578947368421052,1.9736842105263157,255,42
R213_iter600_lr0.084_l21.2,1275.885030456437,1120.1950154803162,30,127,600,10.0,0.08368421052631579,1.236842105263158,255,42
R69_iter800_lr0.087_l21.9,1276.0800535662738,1118.1409407066285,30,127,800,10.0,0.08736842105263158,1.8684210526315788,255,42
R62_iter800_lr0.143_l22.1,1276.1674600558358,1125.6272542708543,40,63,800,10.0,0.14263157894736841,2.0789473684210527,255,42
R185_iter1500_lr0.080_l21.1,1277.3223944831948,1126.2088397951097,30,127,1500,10.0,0.08,1.131578947368421,255,42
R146_iter1500_lr0.128_l22.3,1277.4165146382875,1138.700423643485,20,31,1500,20.0,0.12789473684210526,2.289473684210526,255,42
R86_iter1500_lr0.109_l20.6,1277.966198812292,1137.5315543810666,20,31,1500,25.0,0.1094736842105263,0.6052631578947368,255,42
R206_iter1500_lr0.102_l21.3,1278.837723562981,1146.9435374561235,20,31,1500,,0.10210526315789473,1.3421052631578947,255,42
R127_iter1000_lr0.135_l21.7,1279.0505785682317,1130.3991385788447,40,63,1000,10.0,0.13526315789473684,1.6578947368421053,255,42
R231_iter600_lr0.150_l21.9,1279.4458423058552,1140.8773584091468,20,31,600,20.0,0.15,1.8684210526315788,255,42
R170_iter800_lr0.113_l20.6,1279.616847302259,1123.1913441450342,30,127,800,10.0,0.1131578947368421,0.6052631578947368,255,42
R155_iter600_lr0.143_l20.7,1279.7527032643395,1134.1990694820997,20,31,600,25.0,0.14263157894736841,0.7105263157894737,255,42
R5_iter800_lr0.102_l22.0,1279.870447668808,1147.2471720929057,20,31,800,25.0,0.10210526315789473,1.9736842105263157,255,42
R216_iter800_lr0.135_l21.7,1280.3182702774377,1132.704477296225,30,63,800,10.0,0.13526315789473684,1.6578947368421053,255,42
R46_iter800_lr0.135_l21.6,1280.5712228371194,1140.8501099082207,20,31,800,10.0,0.13526315789473684,1.5526315789473684,255,42
R17_iter1000_lr0.113_l21.3,1280.6947095037567,1150.6296292261654,20,31,1000,10.0,0.1131578947368421,1.3421052631578947,255,42
R113_iter800_lr0.102_l21.7,1281.0510811629483,1146.5483770388091,20,31,800,10.0,0.10210526315789473,1.6578947368421053,255,42
R9_iter800_lr0.095_l21.0,1281.526115884037,1155.322212740181,30,31,800,25.0,0.09473684210526316,1.026315789473684,255,42
R64_iter800_lr0.106_l21.7,1282.043744894231,1155.8184280239016,30,31,800,15.0,0.10578947368421052,1.6578947368421053,255,42
R84_iter800_lr0.124_l20.5,1282.261418529725,1135.3051590859031,30,63,800,10.0,0.12421052631578947,0.5,255,42
