config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,rmse_mean,mae_mean,r2_mean,combo_score
60,1000,2,1,0.7,,False,131.62002449218187,8.858543475534642,0.9998169813851527,2227.4931521623184,1314.7820265570585,0.9474589787838447,1771.1375893596885
12,1000,6,2,0.5,,False,1505.6365275462322,901.72543957267,0.9760845117904511,2283.887045841675,1315.8641399932085,0.9447926637370055,1799.8755929174417
59,1000,6,2,0.5,30.0,False,1511.7824919165992,906.6257418594219,0.9758890506107941,2283.614491491861,1316.529263771169,0.9448051036597983,1800.071877631515
24,1000,2,1,0.5,,False,131.6188553021493,8.87970648337841,0.9998169844390041,2255.7299050828133,1322.846087437732,0.9461368729135395,1789.2879962602726
58,1200,2,1,0.5,,False,131.61873093382212,8.87975003292344,0.9998169847989069,2256.849778615129,1322.9442478327594,0.9460867227890724,1789.8970132239442
6,1200,4,1,0.5,20.0,False,1379.4275162833248,874.5919599204539,0.9799273366661005,2244.1856184188514,1327.4576254517974,0.9466895596433194,1785.8216219353244
56,1000,6,1,0.5,20.0,False,1516.5862537823768,956.12992090497,0.9757370015943987,2263.7053442972983,1335.1591856606533,0.9457712055478005,1799.4322649789758
39,1000,6,3,0.7,20.0,False,1715.3968169827272,1032.8494264967776,0.968958598627863,2304.8974166037783,1336.8057542772158,0.9437904187718401,1820.851585440497
30,800,4,3,0.7,20.0,False,1715.7212594035054,1033.1698564966475,0.9689467417560694,2304.393178660942,1336.9582224511098,0.9438161365440831,1820.6757005560257
53,1200,4,1,0.3,30.0,False,1078.46921101492,663.1250308277395,0.9877288493863765,2335.2084222111616,1337.7177624615433,0.9423318126707569,1836.4630923363525
61,1000,4,1,0.3,30.0,False,1078.3846661394318,663.1343106058418,0.987730790146023,2335.715500760508,1337.9688392681223,0.9423069734846234,1836.8421700143151
4,800,4,1,0.3,,False,971.0320101589404,578.1967540010462,0.9900507973292595,2340.0854116244695,1340.9350486748208,0.9420901848010417,1840.5102301496452
25,1000,2,1,sqrt,30.0,False,481.0549217132799,229.82393319116073,0.9975588256755759,2333.8837305776938,1341.6277768878067,0.9424020485622502,1837.7557537327502
41,1000,2,1,0.3,30.0,False,481.0549217132799,229.82393319116073,0.9975588256755759,2333.8837305776938,1341.6277768878067,0.9424020485622502,1837.7557537327502
